home_team,away_team,home_goals,away_goals
Aston Villa,Arsenal,1,2
Cardiff City,Arsenal,0,3
Chelsea,Arsenal,6,0
Crystal Palace,Arsenal,0,2
Everton,Arsenal,3,0
Fulham,Arsenal,1,3
Hull City,Arsenal,0,3
Liverpool,Arsenal,5,1
Manchester City,Arsenal,6,3
Manchester United,Arsenal,1,0
Newcastle United,Arsenal,0,1
Norwich City,Arsenal,0,2
Southampton,Arsenal,2,2
Stoke City,Arsenal,1,0
Sunderland,Arsenal,1,3
Swansea City,Arsenal,1,2
Tottenham Hotspur,Arsenal,0,1
West Bromwich Albion,Arsenal,1,1
West Ham United,Arsenal,1,3
Arsenal,Aston Villa,1,3
Cardiff City,Aston Villa,0,0
Chelsea,Aston Villa,2,1
Crystal Palace,Aston Villa,1,0
Everton,Aston Villa,2,1
Fulham,Aston Villa,2,0
Hull City,Aston Villa,0,0
Liverpool,Aston Villa,2,2
Manchester City,Aston Villa,4,0
Manchester United,Aston Villa,4,1
Newcastle United,Aston Villa,1,0
Norwich City,Aston Villa,0,1
Southampton,Aston Villa,2,3
Stoke City,Aston Villa,2,1
Sunderland,Aston Villa,0,1
Swansea City,Aston Villa,4,1
Tottenham Hotspur,Aston Villa,3,0
West Bromwich Albion,Aston Villa,2,2
West Ham United,Aston Villa,0,0
Arsenal,Cardiff City,2,0
Aston Villa,Cardiff City,2,0
Chelsea,Cardiff City,4,1
Crystal Palace,Cardiff City,2,0
Everton,Cardiff City,2,1
Fulham,Cardiff City,1,2
Hull City,Cardiff City,1,1
Liverpool,Cardiff City,3,1
Manchester City,Cardiff City,4,2
Manchester United,Cardiff City,2,0
Newcastle United,Cardiff City,3,0
Norwich City,Cardiff City,0,0
Southampton,Cardiff City,0,1
Stoke City,Cardiff City,0,0
Sunderland,Cardiff City,4,0
Swansea City,Cardiff City,3,0
Tottenham Hotspur,Cardiff City,1,0
West Bromwich Albion,Cardiff City,3,3
West Ham United,Cardiff City,2,0
Arsenal,Chelsea,0,0
Aston Villa,Chelsea,1,0
Cardiff City,Chelsea,1,2
Crystal Palace,Chelsea,1,0
Everton,Chelsea,1,0
Fulham,Chelsea,1,3
Hull City,Chelsea,0,2
Liverpool,Chelsea,0,2
Manchester City,Chelsea,0,1
